date,net_pnl_usd,cum_pnl_usd
2018-03-16,448.8591196341592,-35218.3168861808
2018-03-19,335.24600525329663,-34883.0708809275
2018-03-20,-337.30810781866535,-35220.37898874617
2018-03-21,731.3845130241698,-34488.994475722
2018-03-22,709.3980161067428,-33779.596459615255
2018-03-23,172.72081786458986,-33606.87564175067
2018-03-26,76.09132042377092,-33530.78432132689
2018-03-27,316.47221871708217,-33214.31210260981
2018-03-28,-590.0350122388497,-33804.34711484866
2018-03-29,-595.3397300553829,-34399.68684490404
2018-04-02,-814.336808496705,-35214.02365340075
2018-04-03,-720.8753886789689,-35934.89904207972
2018-04-04,177.0161074616429,-35757.88293461808
2018-04-05,408.41845838048283,-35349.4644762376
2018-04-06,2165.3016693776467,-33184.16280685995
2018-04-09,-204.14754968469563,-33388.31035654465
2018-04-10,183.5734597156398,-33204.73689682901
2018-04-12,203.95503714627884,-33000.781859682735
2018-04-13,302.4334407944277,-32698.34841888831
2018-04-16,-1045.8971607446001,-33744.24557963291
2018-04-17,314.03705636316477,-33430.20852326974
2018-04-18,-1123.2147335565978,-34553.42325682634
2018-04-19,-286.3848473074619,-34839.8081041338
2018-04-20,-1006.5952483408257,-35846.40335247463
2018-04-23,-860.9289374696826,-36707.33228994431
2018-04-24,662.1805044871594,-36045.15178545715
2018-04-25,-291.8067491083416,-36336.95853456549
2018-04-26,-457.5543498761992,-36794.51288444169
2018-04-27,384.1617183449027,-36410.351166096785
2018-04-30,-152.8405457054501,-36563.19171180223
2018-05-01,-904.6986416565111,-37467.890353458744
2018-05-02,12.408726121538507,-37455.481627337205
2018-05-03,-1386.320453671538,-38841.80208100874
2018-05-04,-544.9413157127814,-39386.74339672152
2018-05-07,-744.2572302420338,-40131.00062696355
2018-05-08,360.3561376925922,-39770.644489270955
2018-05-09,-1071.7157058730556,-40842.360195144014
2018-05-10,-1040.657235686507,-41883.01743083052
2018-05-11,-1320.7295421343526,-43203.74697296487
2018-05-14,1482.8548338227192,-41720.89213914215
2018-05-15,-344.7309694616903,-42065.623108603846
2018-05-16,564.326120844278,-41501.29698775957
2018-05-17,1297.8495826167446,-40203.447405142826
2018-05-18,-988.9253883909444,-41192.372793533774
2018-05-21,91.99433697569947,-41100.37845655807
2018-05-22,-53.10032881556049,-41153.478785373634
2018-05-23,542.9916478042833,-40610.48713756935
2018-05-24,-1129.965699747187,-41740.45283731654
2018-05-25,-260.57725596622333,-42001.03009328276
2018-05-29,-520.0177265051677,-42521.04781978793
2018-05-30,20.7412034006843,-42500.30661638724
2018-05-31,128.85930318362657,-42371.447313203615
2018-06-01,-713.5380865941303,-43084.98539979775
2018-06-04,872.9450627407588,-42212.04033705699
2018-06-05,629.7877958226608,-41582.25254123433
2018-06-06,-765.881252324083,-42348.133793558416
2018-06-07,461.1116111705845,-41887.02218238783
2018-06-08,352.7819667374752,-41534.24021565035
2018-06-11,213.5554139634538,-41320.6848016869
2018-06-12,509.684134803455,-40811.00066688344
2018-06-13,323.866653139722,-40487.134013743715
2018-06-14,155.50362228869358,-40331.63039145502
2018-06-15,-575.8766586018585,-40907.50705005688
2018-06-18,50.044858529896544,-40857.46219152699
2018-06-19,-828.6102967551772,-41686.07248828217
2018-06-20,-664.2462702519794,-42350.318758534144
2018-06-21,-318.98521759240066,-42669.303976126546
2018-06-22,-114.98067304860189,-42784.28464917515
2018-06-25,-117.16734486644464,-42901.45199404159
2018-06-26,306.62718028331926,-42594.82481375827
2018-06-27,-148.41880476674453,-42743.24361852501
2018-06-28,-719.962555634949,-43463.20617415996
2018-06-29,20.71590225935293,-43442.490271900606
2018-07-02,-1145.307589775548,-44587.797861676154
2018-07-03,-795.8291452721162,-45383.62700694827
2018-07-05,297.62750426810277,-45085.99950268017
2018-07-06,2873.458715227756,-42212.54078745242
2018-07-09,1176.5116537271876,-41036.02913372523
2018-07-10,294.40470964267035,-40741.624424082554
2018-07-11,474.0952312940768,-40267.529192788475
2018-07-12,128.61553133451022,-40138.91366145397
2018-07-13,-1059.8150642661833,-41198.72872572015
2018-07-16,-233.72231044496178,-41432.45103616511
2018-07-18,331.2622338036387,-41101.188802361474
2018-07-19,-172.74435473685782,-41273.933157098334
2018-07-20,280.3601585160618,-40993.57299858227
2018-07-23,474.6330038662353,-40518.939994716035
2018-07-24,-495.93927607859166,-41014.87927079463
2018-07-25,-474.68656941152653,-41489.56584020615
2018-07-26,-1075.6036808473946,-42565.16952105355
2018-07-27,425.2343049836493,-42139.9352160699
2018-07-30,-639.3311042146704,-42779.266320284565
2018-07-31,58.255101685926434,-42721.011218598636
2018-08-01,-792.796536182698,-43513.80775478134
2018-08-02,947.9063815224376,-42565.9013732589
2018-08-03,1593.8306316323376,-40972.070741626565
2018-08-06,123.25234795700084,-40848.818393669564
2018-08-07,-489.4936405825622,-41338.31203425213
2018-08-08,1171.8343843773162,-40166.47764987481
2018-08-09,-198.2082655323666,-40364.68591540718
2018-08-10,99.12460348861148,-40265.561311918565
2018-08-13,688.8697281121181,-39576.691583806445
2018-08-14,-1756.8596751638408,-41333.551258970285
2018-08-15,-1607.647003821785,-42941.198262792066
2018-08-16,662.5924517546545,-42278.605811037414
2018-08-17,187.09257123178043,-42091.51323980563
